idShopi,id_variant,sku_variant,barcode_shopi,inventoryQuantity_shopi,inventoryItemId,inventoryLevelsId,id_products,title_shopi,tags_shopi,vendor_shopi,status_shopi,published_shopi,sku_shopi
9016688836885,gid://shopify/ProductVariant/47975626440981,G002,,19,gid://shopify/InventoryItem/49953587953941,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49953587953941,9016688836885,Repisa Para Baño Esquinera En Vidrio,"['Accesorios Baño', 'Baños', 'Repisas']",PAMO-1,ACTIVE,ACTIVE,G002
8857616875797,gid://shopify/ProductVariant/47933549871381,49B,,0,gid://shopify/InventoryItem/49911100899605,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911100899605,8857616875797,YEE LAVADORA CONTROL PLASTICA,"['BAÑO', 'OTROS', 'PLOMERÍA', 'PLOMERÍA REPUESTOS']",BARU,ACTIVE,ACTIVE,49B
8831009161493,gid://shopify/ProductVariant/47933517201685,86888B,,0,gid://shopify/InventoryItem/49911068131605,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911068131605,8831009161493,Perchero Baño Negro,"['ACCESORIOS', 'ACCESORIOS BAÑO', 'ACCESORIOS DE BAÑO', 'BAÑO', 'BAÑOS', 'PERCHERO']",PAMO-1,ACTIVE,ACTIVE,86888B
8827118747925,gid://shopify/ProductVariant/47285699772693,DB03,DB03,8,gid://shopify/InventoryItem/49273167839509,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49273167839509,8827118747925,Dispensador De Jabón Negro 300ml,"['Dispensadores', 'Institucional', 'Jabón Liquido']",PAMO-1,ACTIVE,ACTIVE,DB03
8652848562453,gid://shopify/ProductVariant/47933549642005,C2311,,0,gid://shopify/InventoryItem/49911100571925,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911100571925,8652848562453,Válvula de Salida Doble Descarga Ahorradora,"['BAÑO', 'GRIFERÍA SANITARIA', 'PLOMERÍA', 'PLOMERÍA REPUESTOS', 'VÁLVULA SALIDA']",BARU,ACTIVE,ACTIVE,C2311
8639733891349,gid://shopify/ProductVariant/47933555704085,ZW-S-1,,0,gid://shopify/InventoryItem/49911106634005,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911106634005,8639733891349,DUCHA TELEFONO CUADRADA ACERO 304,"['BAÑO', 'BAÑOS', 'DUCHAS', 'REGADERAS DE BAÑO', 'TELEDUCHA', 'TELÉFONO']",PAMO-1,ACTIVE,ACTIVE,ZW-S-1
8639733694741,gid://shopify/ProductVariant/47933550035221,BP2021,,0,gid://shopify/InventoryItem/49911100965141,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911100965141,8639733694741,"BOTON DOBLE DESCARGA PEQUEÑO 2""","['BAÑO', 'GRIFERÍA SANITARIA', 'MANIJA SANITARIO', 'PLOMERÍA', 'PLOMERÍA REPUESTOS']",PAMO-1,ACTIVE,ACTIVE,BP2021
8639733432597,gid://shopify/ProductVariant/47933549379861,VS2022+BG2021,,0,gid://shopify/InventoryItem/49911100309781,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911100309781,8639733432597,"VALVULA DE SALIDA DOBLE DESCARGA 26CM ONE PIECE CON BOTON GRANDE 2,5""","['Accesorios Baño', 'BAÑO', 'Baños', 'GRIFERÍA SANITARIA', 'PLOMERÍA', 'PLOMERÍA REPUESTOS', 'VÁLVULA SALIDA']",BARU,ACTIVE,ACTIVE,VS2022+BG2021
8639733301525,gid://shopify/ProductVariant/47933549281557,VS2021+BG2021,,0,gid://shopify/InventoryItem/49911100244245,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911100244245,8639733301525,"VALVULA DE SALIDA DOBLE DESCARGA 18CM ONE PIECE CON BOTON GRANDE 2,5""","['Accesorios Baño', 'BAÑO', 'Baños', 'GRIFERÍA SANITARIA', 'PLOMERÍA', 'PLOMERÍA REPUESTOS', 'VÁLVULA SALIDA']",BARU,ACTIVE,ACTIVE,VS2021+BG2021
8639733203221,gid://shopify/ProductVariant/47933552984341,VS2021,,2,gid://shopify/InventoryItem/49911103914261,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911103914261,8639733203221,VALVULA DE SALIDA DOBLE DESCARGA ONE PIECE,"['Accesorios Baño', 'BAÑO', 'Baños', 'GRIFERÍA SANITARIA', 'PLOMERÍA', 'PLOMERÍA REPUESTOS', 'VÁLVULA SALIDA']",BARU,ACTIVE,ACTIVE,VS2021
8639733039381,gid://shopify/ProductVariant/47933553574165,VE2021,,8,gid://shopify/InventoryItem/49911104504085,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911104504085,8639733039381,Válvula de Entrada,"['Accesorios Plomería', 'BAÑO', 'Grifería Sanitaria', 'Plomería', 'PLOMERÍA REPUESTOS', 'VÁLVULA ENTRADA']",PAMO-1,ACTIVE,ACTIVE,VE2021
8639732875541,gid://shopify/ProductVariant/47933553475861,2021,,0,gid://shopify/InventoryItem/49911104438549,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911104438549,8639732875541,Kit Grifería Sanitaria One Piece,"['BAÑO', 'Grifería Sanitaria', 'KIT GRIFERÍA SANITARIA', 'Plomería', 'PLOMERÍA REPUESTOS']",PAMO-1,ACTIVE,ACTIVE,2021
8639732678933,gid://shopify/ProductVariant/47933550526741,FN050,,0,gid://shopify/InventoryItem/49911101849877,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911101849877,8639732678933,"Extensión Macho Hembra 1/2""  7CM NPT","['BAÑO', 'OTROS', 'PLOMERÍA', 'PLOMERÍA REPUESTOS']",PAMO-1,ACTIVE,ACTIVE,FN050
8639732416789,gid://shopify/ProductVariant/47933550461205,FN030,,0,gid://shopify/InventoryItem/49911101391125,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911101391125,8639732416789,EXTENSION 4CM,"['BAÑO', 'OTROS', 'PLOMERÍA', 'PLOMERÍA REPUESTOS']",PAMO-1,ACTIVE,ACTIVE,FN030
8639732220181,gid://shopify/ProductVariant/47933552918805,FN060,,0,gid://shopify/InventoryItem/49911103848725,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911103848725,8639732220181,"Extensor 1/2"" NPT Macho Hembra 6cm Acero","['BAÑO', 'OTROS', 'Plomería', 'PLOMERÍA REPUESTOS']",PAMO-1,ACTIVE,ACTIVE,FN060
8639731728661,gid://shopify/ProductVariant/47933549805845,AHLED,,0,gid://shopify/InventoryItem/49911100735765,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911100735765,8639731728661,AHORRADOR LED,"['BAÑO', 'OTROS', 'PLOMERÍA', 'PLOMERÍA REPUESTOS']",PAMO-1,ACTIVE,ACTIVE,AHLED
8639731499285,gid://shopify/ProductVariant/47933549445397,FN7918,,0,gid://shopify/InventoryItem/49911100375317,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911100375317,8639731499285,Herraje para Tapa Asiento Caída Lenta,"['Accesorios Baño', 'BAÑO', 'Baños', 'HERRAJES', 'PLOMERÍA', 'PLOMERÍA REPUESTOS', 'REPUESTOS']",PAMO-1,ACTIVE,ACTIVE,FN7918
8639731269909,gid://shopify/ProductVariant/47933550100757,C31,,0,gid://shopify/InventoryItem/49911101030677,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911101030677,8639731269909,RACOR PARA LLAVE AGUA FRIA 8CM,"['BAÑO', 'OTROS', 'PLOMERÍA', 'PLOMERÍA REPUESTOS']",PAMO-1,ACTIVE,ACTIVE,C31
8639731073301,gid://shopify/ProductVariant/47933552165141,FS005,,0,gid://shopify/InventoryItem/49911103160597,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911103160597,8639731073301,RACOR PARA MONOCONTROL  EN BRONCE 8 CM,"['BAÑO', 'OTROS', 'PLOMERÍA', 'PLOMERÍA REPUESTOS']",PAMO-1,ACTIVE,ACTIVE,FS005
8639730712853,gid://shopify/ProductVariant/47933552623893,H02,,-1,gid://shopify/InventoryItem/49911103553813,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49911103553813,8639730712853,HERRAJE MONOCONTROL DE DOS TORNILLOS,"['BAÑO', 'HERRAJES', 'PLOMERÍA', 'PLOMERÍA REPUESTOS', 'REPUESTOS']",PAMO-1,ACTIVE,ACTIVE,H02
